analysis,control,prototype_id,level,metric,n,mean,median,minimum,maximum,monotonic_triplet_count,monotonic_triplet_fraction,specimen_count,unique_signature_count,unique_signature_ratio,signature_round_decimals
level_distribution,backbone,proto_sw_2_3,expanded,mean_backbone_excursion,30,0.07672716277263639,0.07387708624275022,0.05899882351384324,0.10584298600386657,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,vertical_span,30,0.40639199746666665,0.40328763999999995,0.31406338600000006,0.501278694,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,occupied_area_ratio,30,0.02209829586988304,0.022406684027777776,0.013728983918128655,0.028857136330409358,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,root_coverage_qcov,30,0.6111111111333333,0.606060606,0.545454546,0.6666666670000001,,,,,,
level_distribution,backbone,proto_sw_2_3,expanded,root_gap_max,30,0.38888888886666667,0.39393939399999994,0.33333333299999995,0.45454545400000007,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,density_resource_D,30,0.4538876326333333,0.47180155349999997,0.139221512,0.686096152,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,l1_count,30,5.866666666666666,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,l2_count,30,1.7666666666666666,2.0,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,branchunit_count_evaluated,30,5.866666666666666,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,ordinary_total_length,30,1.3123731886755114,1.3249610180192484,1.0178346564898788,1.6268666820449265,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,ordinary_mean_length,30,0.17255032217500374,0.1715269999645745,0.14285907484252197,0.20950907794507198,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,mean_backbone_excursion,30,0.0800894266837549,0.08246528549290634,0.049723295272164354,0.10629287389586561,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,vertical_span,30,0.43352132256666664,0.45166897000000006,0.2786191859999999,0.572441501,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,occupied_area_ratio,30,0.02137034752680312,0.02123595120614035,0.015499360380116959,0.02867438779239766,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,root_coverage_qcov,30,0.6050505051333334,0.606060606,0.545454545,0.6666666670000001,,,,,,
level_distribution,backbone,proto_sw_2_3,swept,root_gap_max,30,0.39494949486666664,0.393939394,0.33333333299999995,0.454545455,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,density_resource_D,30,0.44939580096666665,0.4235432905,0.247634559,0.707881092,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,l1_count,30,5.9,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,l2_count,30,1.8333333333333333,2.0,1.0,3.0,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,branchunit_count_evaluated,30,5.9,6.0,5.0,7.0,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,ordinary_total_length,30,1.5885230567497335,1.5935662592667987,1.145247807163626,2.042546409747969,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,ordinary_mean_length,30,0.20673186225401974,0.2030603273944766,0.15085259292725917,0.28085505914246184,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,mean_backbone_excursion,30,0.09116273382114366,0.08948334579648604,0.06444255502480528,0.12009882003468556,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,vertical_span,30,0.7486986325666667,0.7731768130000001,0.554846407,0.920697698,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,occupied_area_ratio,30,0.026387937073586745,0.025810375548245612,0.01910864400584795,0.03457373903508772,,,,,,
level_distribution,backbone,proto_sw_3_1,compact,root_coverage_qcov,30,0.7080808079,0.696969697,0.636363636,0.757575758,,,,,,
