file,object_id,title,object_name,classification,medium,date,culture,source_page,image_url,rights
met_659801.jpg,659801,"Convivio delle Belle Donne, page 19 (recto)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659801,https://images.metmuseum.org/CRDImages/dp/web-large/DP366825.jpg,The Met Open Access; Public Domain
met_659803.jpg,659803,"Convivio delle Belle Donne, page 19 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,August 1532,,https://www.metmuseum.org/art/collection/search/659803,https://images.metmuseum.org/CRDImages/dp/web-large/DP366828.jpg,The Met Open Access; Public Domain
met_659922.jpg,659922,"Album of designs for embroidery: bodices, gauntlets, caps, bags, page 22 (recto)",Album Drawings Ornament & Architecture,Albums,pen and ink; some with wash,1615–35,,https://www.metmuseum.org/art/collection/search/659922,https://images.metmuseum.org/CRDImages/dp/web-large/DP165317.jpg,The Met Open Access; Public Domain
met_659923.jpg,659923,"Album of designs for embroidery: bodices, gauntlets, caps, bags, page 23 (recto)",Album Drawings Ornament & Architecture,Albums,pen and ink; some with wash,1615–35,,https://www.metmuseum.org/art/collection/search/659923,https://images.metmuseum.org/CRDImages/dp/web-large/DP165317.jpg,The Met Open Access; Public Domain
met_660598.jpg,660598,"Il Monte. Opera Nova di Recami, page 8 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,after 1557,,https://www.metmuseum.org/art/collection/search/660598,https://images.metmuseum.org/CRDImages/dp/web-large/DP362330.jpg,The Met Open Access; Public Domain
met_660826.jpg,660826,"Lucidario di Recami, page 3 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,1564,,https://www.metmuseum.org/art/collection/search/660826,https://images.metmuseum.org/CRDImages/dp/web-large/DP362108.jpg,The Met Open Access; Public Domain
met_662027.jpg,662027,"Teatro delle Nobili et Virtuose Donne..., page 19 (recto)",Books Prints Ornament & Architecture,Books,"Woodcut, engraving",1616,,https://www.metmuseum.org/art/collection/search/662027,https://images.metmuseum.org/CRDImages/dp/web-large/DP358071.jpg,The Met Open Access; Public Domain
met_662653.jpg,662653,"Ghirlanda: Di sei vaghi fiori scielti da piu famosi Giardini d'Italia, page 40 (recto)",Books Prints Ornament & Architecture,Books,Etching and drawing,"October 1, 1604",,https://www.metmuseum.org/art/collection/search/662653,https://images.metmuseum.org/CRDImages/dp/web-large/DP362298.jpg,The Met Open Access; Public Domain
met_665801.jpg,665801,Les Singuliers et Nouveaux Portraicts... page 66 (recto),Books Prints Ornament & Architecture,Books,Woodcut,1588,,https://www.metmuseum.org/art/collection/search/665801,https://images.metmuseum.org/CRDImages/dp/web-large/DP364073.jpg,The Met Open Access; Public Domain
met_665830.jpg,665830,"Ein new Modelbuch..., page 2 (verso)",Books Prints Ornament & Architecture,Books,Woodcut,"October 22, 1524",,https://www.metmuseum.org/art/collection/search/665830,https://images.metmuseum.org/CRDImages/dp/web-large/DP363371.jpg,The Met Open Access; Public Domain
