"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU013.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","17.8823","32","0","0.0","0.0","0.149","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU013.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","14.8506","30","4","0.3077","0.0063","0.1155","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU014.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU014.png","227.0","0","183","1.0","1.0","1.0","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU014.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU009.png","12.0334","36","0","0.0","0.0","0.1003","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU014.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU008.png","12.0054","28","2","0.0","0.0","0.0984","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU014.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU021.png","10.0835","26","1","0.0","0.0","0.0833","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU015.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU015.png","227.0","0","226","1.0","1.0","1.0","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU015.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","15.4148","24","5","0.3846","0.0221","0.1179","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU015.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU008.png","12.7214","34","0","0.0","0.0","0.106","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU015.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU013.png","11.8531","30","1","0.0","0.0","0.098","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU016.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU016.png","227.0","0","411","1.0","1.0","1.0","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU016.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\contact_sheet.jpg","26.2505","30","48","0.8","0.1168","0.1458","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU016.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU013.png","12.2155","32","4","0.5","0.0097","0.0929","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU016.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","11.243","28","6","0.3529","0.0146","0.0856","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU017.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU017.png","227.0","0","499","1.0","1.0","1.0","yes"
